wordform_id,wordform,lemma_id,pos,cefr,english_gloss,tense,person,number,gender
wf_5c00476ae3,fanno,lem_4f82e531da,verb_form,A1,to do / to make,present,loro,,
wf_2e39c96d92,facevo,lem_4f82e531da,verb_form,A1,to do / to make,imperfect,io,,
wf_03c4763fbd,facevi,lem_4f82e531da,verb_form,A1,to do / to make,imperfect,tu,,
wf_4ef1cf8647,faceva,lem_4f82e531da,verb_form,A1,to do / to make,imperfect,lui/lei,,
wf_e73c99d516,facevamo,lem_4f82e531da,verb_form,A1,to do / to make,imperfect,noi,,
wf_30a6ce08fb,facevate,lem_4f82e531da,verb_form,A1,to do / to make,imperfect,voi,,
wf_5b5208b2cb,facevano,lem_4f82e531da,verb_form,A1,to do / to make,imperfect,loro,,
wf_c53425f29a,fatto,lem_4f82e531da,verb_form,A1,to do / to make,past_participle,nan,,
wf_3e79b9137d,fando,lem_4f82e531da,verb_form,A1,to do / to make,gerund,nan,,
wf_e7e2eef538,farò,lem_4f82e531da,verb_form,A1,to do / to make,future,io,,
wf_39869c1eae,farai,lem_4f82e531da,verb_form,A1,to do / to make,future,tu,,
wf_96dd4556b7,farà,lem_4f82e531da,verb_form,A1,to do / to make,future,lui/lei,,
wf_871a93101b,faremo,lem_4f82e531da,verb_form,A1,to do / to make,future,noi,,
wf_b938ba7e15,farete,lem_4f82e531da,verb_form,A1,to do / to make,future,voi,,
wf_08b54fa802,faranno,lem_4f82e531da,verb_form,A1,to do / to make,future,loro,,
wf_12dbba8f88,farei,lem_4f82e531da,verb_form,A1,to do / to make,conditional,io,,
wf_d198bebef7,faresti,lem_4f82e531da,verb_form,A1,to do / to make,conditional,tu,,
wf_6b49bfe8e9,farebbe,lem_4f82e531da,verb_form,A1,to do / to make,conditional,lui/lei,,
wf_9bbb62cd17,faremmo,lem_4f82e531da,verb_form,A1,to do / to make,conditional,noi,,
wf_2a8cbb5664,fareste,lem_4f82e531da,verb_form,A1,to do / to make,conditional,voi,,
wf_f396f00beb,farebbero,lem_4f82e531da,verb_form,A1,to do / to make,conditional,loro,,
wf_cd8b96a84b,dire,lem_ce032b4f2b,verb_form,A1,to say / to tell,infinitive,nan,,
wf_c7a53e0d0c,dico,lem_ce032b4f2b,verb_form,A1,to say / to tell,present,io,,
wf_00336b0f4e,dici,lem_ce032b4f2b,verb_form,A1,to say / to tell,present,tu,,
wf_13f6b329d0,dice,lem_ce032b4f2b,verb_form,A1,to say / to tell,present,lui/lei,,
wf_b2f17c0fea,diciamo,lem_ce032b4f2b,verb_form,A1,to say / to tell,present,noi,,
wf_4f4aceeff6,dite,lem_ce032b4f2b,verb_form,A1,to say / to tell,present,voi,,
wf_7e01990a8d,dicono,lem_ce032b4f2b,verb_form,A1,to say / to tell,present,loro,,
wf_39c81189d4,dicevo,lem_ce032b4f2b,verb_form,A1,to say / to tell,imperfect,io,,
wf_d93d0a0f34,dicevi,lem_ce032b4f2b,verb_form,A1,to say / to tell,imperfect,tu,,
wf_adf9c34e53,diceva,lem_ce032b4f2b,verb_form,A1,to say / to tell,imperfect,lui/lei,,
wf_b089ceb206,dicevamo,lem_ce032b4f2b,verb_form,A1,to say / to tell,imperfect,noi,,
wf_44f70b4f5b,dicevate,lem_ce032b4f2b,verb_form,A1,to say / to tell,imperfect,voi,,
wf_c763c14a4e,dicevano,lem_ce032b4f2b,verb_form,A1,to say / to tell,imperfect,loro,,
wf_fd31b4f03a,detto,lem_ce032b4f2b,verb_form,A1,to say / to tell,past_participle,nan,,
wf_1956c032ad,dendo,lem_ce032b4f2b,verb_form,A1,to say / to tell,gerund,nan,,
wf_8e247d5ed2,dirò,lem_ce032b4f2b,verb_form,A1,to say / to tell,future,io,,
